specialty,year,active_providers,counties_with_any,total_claims,total_benes,prov_change,prov_change_pct
Behavioral Health,2018,30069,4809,5925944,2204853,,
Behavioral Health,2019,31189,4981,6075675,2277332,0.0372476637068078,3.7
Behavioral Health,2020,30450,4964,6303413,2248031,-0.0236942511783,-2.4
Behavioral Health,2021,36071,5305,7597332,2776542,0.184597701149425,18.5
Behavioral Health,2022,37112,5353,8096719,2942522,0.028859748828699,2.9
Behavioral Health,2023,36841,5317,8069608,2895844,-0.0073022203061005,-0.7
Behavioral Health,2024,25053,3824,5417779,1888607,-0.319969599087973,-32
Dental,2018,53509,6914,36852967,30162918,,
Dental,2019,50496,6703,33449129,28427095,-0.0563082845876395,-5.6
Dental,2020,44647,6325,25825606,21750111,-0.115830956907478,-11.6
Dental,2021,48285,6309,33484645,28387316,0.0814836383183641,8.1
Dental,2022,43063,6026,32225210,27325934,-0.108149528839184,-10.8
Dental,2023,42660,5769,33761605,28570105,-0.00935838190558025,-0.9
Dental,2024,31920,4243,25169938,21369927,-0.251758087201125,-25.2
NP/PA,2018,20418,3602,3662664,3011677,,
NP/PA,2019,20596,3295,3782088,2947245,0.00871779802135375,0.9
NP/PA,2020,20158,3154,4030569,2986727,-0.0212662652942319,-2.1
NP/PA,2021,22186,3037,4830851,3760644,0.100605218771703,10.1
NP/PA,2022,25099,2957,5812854,4569756,0.131299017398359,13.1
NP/PA,2023,27445,3077,6106082,5023450,0.0934698593569465,9.3
NP/PA,2024,21633,2245,4785135,3846910,-0.211768992530516,-21.2
OB-GYN,2018,8382,1820,2283160,1803850,,
OB-GYN,2019,7785,1642,2402038,1871887,-0.0712240515390121,-7.1
OB-GYN,2020,7243,1546,2263927,1768500,-0.069621066152858,-7
OB-GYN,2021,7661,1536,2587711,2059119,0.0577108932762667,5.8
OB-GYN,2022,7114,1393,2357075,1888366,-0.0714006004438063,-7.1
OB-GYN,2023,6658,1287,2291500,1804249,-0.0640989597975822,-6.4
OB-GYN,2024,4617,883,1410643,1097877,-0.306548513066987,-30.7
Primary Care,2018,71858,5913,26082625,22000273,,
Primary Care,2019,68826,5468,28130362,23721961,-0.0421943277018565,-4.2
Primary Care,2020,66649,5163,27155834,22203480,-0.0316304884781914,-3.2
Primary Care,2021,71551,4923,32554905,27499366,0.0735494906150129,7.4
Primary Care,2022,68966,4639,32584751,27357926,-0.0361280764769185,-3.6
Primary Care,2023,66009,4434,31087979,26300549,-0.042876199866601,-4.3
Primary Care,2024,45922,3131,20358725,17180379,-0.30430698844097,-30.4
Psychiatry,2018,11328,2231,2719828,1858454,,
Psychiatry,2019,11031,2036,2794102,1879867,-0.026218220338983,-2.6
Psychiatry,2020,10464,1942,2733780,1787936,-0.0514005983138428,-5.1
Psychiatry,2021,10463,1865,2815576,1961447,-9.55657492355266e-05,0
Psychiatry,2022,9945,1751,2551069,1839748,-0.0495077893529581,-5
Psychiatry,2023,9587,1704,2418648,1780286,-0.0359979889391654,-3.6
Psychiatry,2024,6837,1188,1578862,1136973,-0.28684677166997,-28.7
Surgery,2018,6071,1528,796564,612905,,
Surgery,2019,6597,1507,894401,703489,0.0866414099818811,8.7
Surgery,2020,6117,1356,800854,601861,-0.0727603456116417,-7.3
Surgery,2021,7216,1369,977140,773799,0.179663233611247,18
Surgery,2022,7027,1296,941448,748869,-0.0261917960088692,-2.6
Surgery,2023,7078,1248,945683,767315,0.00725772022200077,0.7
Surgery,2024,4862,856,633343,506265,-0.313082791749082,-31.3
