Panel,Variable,N,Mean,SD,Min,p25,Median,p75,Max
A: Credit Access,Auto Loan Balance ($),3089,9583.450071812009,1877.0972552316423,3192.110169491526,8361.619047619048,9178.604026845638,10426.51327433628,19292.86315789474
A: Credit Access,Credit Card Balance ($),3089,4235.532920922615,737.8895853498524,1629.934782608696,3702.600340136054,4277.404024767802,4697.572139303483,7064
A: Credit Access,Credit Score,3089,677.2400760872904,29.39146423419051,593.2715447154471,655.0545662100457,676.363870967742,698.7647916666666,754.2925925925925
A: Credit Access,Delinquency Rate,3089,0.44888383244429086,0.11766384227927923,0.139185,0.3597058962264151,0.4552513005780347,0.5365313253012047,0.7726601626016261
A: Credit Access,Mortgage Balance ($),3089,70219.06136032646,22652.685561473743,14185.21739130435,53210.26315789474,66846.86,86407.19298245614,154744.3023758099
A: Credit Access,Student Loan Balance ($),3089,10038.329956512292,2507.120418726665,2712.572033898305,8397.908396946565,9767.564766839378,11246.52795031056,33170.5
B: Social Capital,Child Economic Connectedness,2729,0.8253347784646391,0.22121031262631702,0.22188,0.67874998,0.81550997,0.96213001,1.61136
B: Social Capital,Civic Organizations (per capita),3089,0.019762324325186143,0.009850312032732622,0.00349,0.01402,0.01778,0.02306,0.19542867
B: Social Capital,Clustering,3089,0.11645611714341211,0.020364282792658558,0.071620002,0.10269,0.11457,0.12724,0.26097
B: Social Capital,Economic Connectedness,3018,0.8144641210868124,0.17712569190777053,0.29469001,0.695607495,0.80683002,0.9367825125,1.3597
B: Social Capital,Friending Bias,3012,0.06416094624107935,0.05063336798316022,-0.10809,0.030807500999999998,0.06397,0.0954500005,0.33456999
B: Social Capital,Volunteering Rate,3089,0.07806774976413079,0.03484092523278829,0.0096500004,0.05528,0.073279999,0.093960002,0.30873594
C: Political,GOP Change 2016-2020,3060,0.01352516916299613,0.02831623399741131,-0.07319274813314192,-0.00231601157005612,0.012054966768283437,0.025282510455305843,0.2808662917976505
C: Political,GOP Change 2016-2024,3052,0.03305246125864393,0.03562489440964025,-0.1169429275792166,0.012955835431545562,0.03045476325076321,0.04861473305279475,0.3880876131869911
C: Political,GOP Change 2020-2024,3053,0.01944992396223983,0.016223921767307716,-0.04375017944607468,0.009512528379932439,0.018239718858757192,0.0277104564661933,0.14139547655200846
C: Political,GOP Vote Share 2016,3060,0.636101480437194,0.1543204136782982,0.0412206713478,0.54967442123,0.667253346486,0.7495484851565,0.931472081218
C: Political,GOP Vote Share 2020,3061,0.6494447436382168,0.15937167227170715,0.05397321376714795,0.5578786333503315,0.6828835677182313,0.7736238962990795,0.939729397293973
C: Political,GOP Vote Share 2024,3053,0.6694839085985488,0.1554845517433178,0.05081185280379606,0.5834033260540904,0.7025772253701335,0.7902204205725868,0.9590163934426228
D: County Covariates,College Share 2010,3087,0.18965218767055395,0.08577568649823589,0.036770009,0.130763895,0.16784963,0.22572725,0.70136601
D: County Covariates,Employment Rate 2010,3087,0.6670158902591513,0.0894465716113486,0.27668113,0.61325854,0.67477417,0.728706715,0.94858795
D: County Covariates,Gini Coefficient 2010,3087,0.4315600907029478,0.03587820816122515,0.313,0.407,0.429,0.453,0.645
D: County Covariates,Median HH Income 2010,3087,61841.818401180986,15958.785321140958,27040.27350997925,51681.28343582153,59362.56003570557,68650.7982673645,161498.246635437
D: County Covariates,Population Density 2010,3087,253.39075196675898,1779.0821730734701,0.038404234,17.649234,45.6203,112.93880999999999,70583.633
D: County Covariates,Poverty Share 2010,3087,0.15504035831940394,0.0629980886210957,0.010727456,0.11031209,0.14691231,0.18945592,0.49273103
D: County Covariates,Share Black 2010,3087,0.08862028578648848,0.14411241677722525,0,0.00459441425,0.020118637,0.10133083500000001,0.85684699
D: County Covariates,Share White 2010,3087,0.8298107723874312,0.16643476685904288,0.09581773,0.752954635,0.89118201,0.955109655,0.99219131
